Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/house/for-sale/dessel/2480/10940504,1.0,2,1965.0,37.0,8.0,0.0,1.0,350.0,2.0,85.0,0.0,4.0,3.0,2480,199000,10940504,5,0,0.0,0.0,1.0,11,461.0,0.0,0.0,1.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/10940123,1.0,1,1963.0,18.0,8.0,0.0,0.0,0.0,2.0,44.0,0.0,2.0,10.0,4040,99000,10940123,9,1,3.0,1.0,3.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/pont-a-celles/6230/10940130,1.0,4,1899.0,7.0,8.0,0.0,1.0,450.0,4.0,160.0,0.0,3.0,3.0,6230,119900,10940130,1,1,0.0,1.0,1.0,11,830.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/wijnegem/2110/10939986,2.0,2,0.0,1.0,8.0,0.0,0.0,0.0,6.0,330.0,0.0,3.0,13.0,2110,1875000,10939986,5,0,0.0,0.0,3.0,0,0.0,0.0,1.0,0.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/schilde/2970/10939901,1.0,2,2024.0,1.0,8.0,0.0,0.0,0.0,6.0,91.0,0.0,3.0,14.0,2970,419000,10939901,5,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/schilde/2970/10939904,1.0,2,2024.0,1.0,8.0,0.0,0.0,0.0,6.0,75.0,0.0,3.0,14.0,2970,389000,10939904,5,0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/sint-agatha-berchem/1082/10939808,2.0,3,1971.0,6.0,8.0,0.0,0.0,0.0,4.0,240.0,0.0,2.0,3.0,1082,515000,10939808,3,2,0.0,0.0,3.0,1,150.0,0.0,1.0,1.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/hechtel-eksel/3940/10939698,2.0,4,1965.0,19.0,8.0,0.0,0.0,0.0,4.0,320.0,0.0,0.0,7.0,3940,340000,10939698,2,0,0.0,0.0,3.0,1,759.0,0.0,0.0,0.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/hechtel-eksel/3940/10939697,2.0,4,1965.0,19.0,8.0,0.0,0.0,0.0,4.0,320.0,0.0,0.0,7.0,3940,340000,10939697,2,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/waarloos/2550/10939692,1.0,3,1973.0,1.0,8.0,0.0,1.0,240.0,4.0,162.0,0.0,3.0,11.0,2550,385000,10939692,5,0,10.0,1.0,1.0,21,472.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/wommelgem/2160/10939519,2.0,3,1949.0,1.0,8.0,0.0,1.0,200.0,4.0,130.0,0.0,0.0,3.0,2160,295000,10939519,5,0,13.0,0.0,1.0,11,265.0,0.0,0.0,1.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/beloeil/7970/10939478,0.0,2,0.0,3.0,8.0,0.0,1.0,1.0,4.0,125.0,0.0,4.0,7.0,7970,158000,10939478,1,1,0.0,1.0,3.0,11,389.0,0.0,1.0,1.0,1,0
